dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,issue_width,l_meas,l_ff,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,1,1,12096,12099,0.999752,2,0.000165,0.999752
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,1,1,12096,12099,0.999752,2,0.000165,0.999752
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,1,1,12096,12098,0.999835,1,8.3e-05,0.999835
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,1,1,12096,12099,0.999752,2,0.000165,0.999752
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,1,2,12096,12103,0.999422,6,0.000496,0.999422
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,1,2,12096,12103,0.999422,6,0.000496,0.999422
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,1,2,12096,12099,0.999752,2,0.000165,0.999752
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,1,2,12096,12103,0.999422,6,0.000496,0.999422
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,1,3,12096,12108,0.999009,11,0.000908,0.999009
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,1,3,12096,12108,0.999009,11,0.000908,0.999009
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,1,3,12096,12100,0.999669,3,0.000248,0.999669
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,1,3,12096,12102,0.999504,5,0.000413,0.999504
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,1,5,12096,12126,0.997526,29,0.002392,0.997526
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,1,5,12096,12126,0.997526,29,0.002392,0.997526
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,1,5,12096,12102,0.999504,5,0.000413,0.999504
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,1,5,12096,12120,0.99802,23,0.001898,0.99802
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,2,1,12096,12103,0.999422,6,0.000496,0.999422
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,2,1,12096,12103,0.999422,6,0.000496,0.999422
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,2,1,12096,12099,0.999752,2,0.000165,0.999752
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,2,1,12096,12103,0.999422,6,0.000496,0.999422
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,2,2,12096,12108,0.999009,11,0.000908,0.999009
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,2,2,12096,12108,0.999009,11,0.000908,0.999009
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,2,2,12096,12100,0.999669,3,0.000248,0.999669
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,2,2,12096,12102,0.999504,5,0.000413,0.999504
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,2,3,12096,12116,0.998349,19,0.001568,0.998349
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,2,3,12096,12116,0.998349,19,0.001568,0.998349
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,2,3,12096,12101,0.999587,4,0.000331,0.999587
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,2,3,12096,12111,0.998761,14,0.001156,0.998761
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,2,5,12096,12140,0.996376,43,0.003542,0.996376
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,2,5,12096,12140,0.996376,43,0.003542,0.996376
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,2,5,12096,12103,0.999422,6,0.000496,0.999422
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,2,5,12096,12129,0.997279,32,0.002638,0.997279
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,3,1,12096,12108,0.999009,11,0.000908,0.999009
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,3,1,12096,12108,0.999009,11,0.000908,0.999009
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,3,1,12096,12100,0.999669,3,0.000248,0.999669
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,3,1,12096,12102,0.999504,5,0.000413,0.999504
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,3,2,12096,12116,0.998349,19,0.001568,0.998349
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,3,2,12096,12116,0.998349,19,0.001568,0.998349
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,3,2,12096,12101,0.999587,4,0.000331,0.999587
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,3,2,12096,12111,0.998761,14,0.001156,0.998761
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,3,3,12096,12126,0.997526,29,0.002392,0.997526
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,3,3,12096,12126,0.997526,29,0.002392,0.997526
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,3,3,12096,12102,0.999504,5,0.000413,0.999504
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,3,3,12096,12120,0.99802,23,0.001898,0.99802
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,1,3,5,12096,12157,0.994982,60,0.004935,0.994982
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,1,3,5,12096,12157,0.994982,60,0.004935,0.994982
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,1,3,5,12096,12104,0.999339,7,0.000578,0.999339
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,1,3,5,12096,12144,0.996047,47,0.00387,0.996047
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,2,1,1,12096,6054,1.998018,4,0.000661,0.999009
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,2,1,1,12096,6103,1.981976,4,0.000655,0.990988
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,2,1,1,12096,6050,1.999339,1,0.000165,0.999669
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,2,1,1,12096,6052,1.998678,2,0.00033,0.999339
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,2,1,2,12096,6061,1.99571,8,0.00132,0.997855
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,2,1,2,12096,6109,1.980029,8,0.00131,0.990015
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,2,1,2,12096,6051,1.999008,2,0.000331,0.999504
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,2,1,2,12096,6060,1.99604,7,0.001155,0.99802
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,2,1,3,12096,6076,1.990783,20,0.003292,0.995392
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,2,1,3,12096,6123,1.975502,20,0.003266,0.987751
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,2,1,3,12096,6052,1.998678,3,0.000496,0.999339
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,2,1,3,12096,6064,1.994723,11,0.001814,0.997361
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,2,1,5,12096,6119,1.976794,62,0.010132,0.988397
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,2,1,5,12096,6164,1.962362,62,0.010058,0.981181
